location_id,merchant_location_id,merchant_location_latitude,merchant_location_longitude
00034e7f-3067-45b9-a634-9cce59de6b8a,3e86579d-0d15-4bbd-b27a-7e77ad99b0e4,34.55656640,-117.28893730
0007acf6-fa55-4bc9-83cb-3d767684da20,b7e9b0b9-3200-4ac3-af7a-56d931375d52,38.66422130,-121.27260780
0007d74f-7751-4244-9e3a-e86869da3e8c,e0322f92-ff16-4a84-9cae-ff64533f738e,40.36409910,-111.74217670
000acc74-a50a-49b4-aa04-bdddbd0c9f65,e5028d80-7abc-479d-95a5-6b454b6c59ab,45.83186420,-109.96183630
000f2ec0-13b2-4a52-b2dd-8f9b9619c3c4,bdd57730-efe7-4e8f-84a8-ada4f2db951a,39.17309940,-91.88652030
001043f8-1051-43f6-994c-63bf1d04144f,7ae3838a-e4f2-4a1d-a12b-f31e2532351d,37.57024750,-90.28618100
00126a80-014d-47fe-984d-d67f782d79e9,8487,39.87415447,-75.26236117
0012c3af-6bbc-4f79-8e13-0fc403a82771,2412,32.74799693,-97.08110095
0014a1bc-f70f-43d8-9b2d-c702fee6f97c,7455,44.97705908,-93.27881142
00150798-09cc-4ed0-9459-a58fe1763cbc,d6d5cdd9-e59e-428b-9f88-7854c2ce34b1,38.30658700,-90.53154360
00160467-bd48-4eb7-bc97-88295f274cc3,7024,37.77127400,-122.41582600
00167061-4e49-4e43-ada4-090e9a99cef5,1fc6b097-d6cf-456c-b5f3-563fdbf15ef9,44.06784440,-103.19583130
00171b14-9c1a-4d5e-bf61-1e2aa64f84eb,acd8f616-cd1d-49c2-8e11-7d8252f0d5c5,38.56739780,-90.49545220
0017de4d-e472-4f4f-8e20-701fe60ee6f4,15b79163-7897-43f3-8cc0-ce8304a92e93,42.43679770,-96.41357690
001a948b-f4e4-4dbc-8182-8893964ac977,5718,39.95515740,-75.17167210
001b74d0-ba2b-42a8-88c9-8224f75a5965,4582e46d-9662-47d5-8ab5-1f2b981ec2f8,40.12776530,-75.34769570
002173fe-e986-40ab-a764-c9e5d9063c25,7531,33.75685472,-84.38607350
0021bb19-39ac-4ffa-be5c-75d1d5956da4,8921,41.93600008,-87.64261857
00276583-5f38-476f-b200-7d1f1aff3d86,f1eb801c-60be-4551-8713-c563a5330ef1,45.50433060,-122.47511360
0027c2b5-fd79-4321-ba8d-409072fa6519,c5600920-f2b0-4cf0-b39d-d692683cfcb2,36.88937320,-89.54359650
0027ea7e-7bb2-4d67-8125-657c126db49f,abecd516-4036-4167-bbf0-d63d4fb076b4,39.39219280,-119.79003910
002d0c57-4bf6-4707-aee5-8eb085034d90,4b264d98-7f93-49cc-ba07-d2f7f974e218,30.74234200,-99.22541740
002eaf1d-85dd-4f63-8fe6-0d06a722af21,d975bb8b-2d96-4449-ab72-c2d6b95e7d36,35.50777540,-87.22629660
002f9550-8b69-44fe-9576-7bc28a1805c1,595976e4-5943-4230-b51e-7c2bf72f0a55,32.87689870,-117.18605590
0033d4db-879a-4487-99f4-0731ba862d6d,b0f28f7a-b3bd-467f-9a83-2b5cacdd0eaa,38.45211400,-122.75084600
00364bad-c1dc-41cc-869b-88456a6df877,dd9c394f-3d0c-42fd-8ac8-4477638491e4,35.21875890,-97.42220880
00391a40-35d9-4ff7-9d61-f07012dae831,fafac7e9-5424-4ca1-ac46-940bf59ca4a0,40.80415260,-96.68214800
003b7f4f-c7ee-42cb-9f5d-a670dd08a66c,9768,47.62186489,-122.33785450
003ffb83-b22b-4169-8b7d-8b501ba33ba1,510a5696-2764-406c-9c0f-a1a84815a606,38.54299160,-90.19249730
0041edb0-b18e-478d-9eea-1732ea23b188,4a0fda30-7246-496a-a6fb-02dce21b03bd,34.31103210,-92.41371720
004242f0-5e74-45ed-a13a-784774d9d1ca,3125,35.29058600,-80.76602000
00434823-3b6e-46e6-a89b-c3bd21bfe220,e952a8dc-e34e-4291-9049-c4131f8e144e,38.68505400,-90.33932400
00442e01-4454-4add-bd79-c814ce41b328,5c6e2781-741e-4a61-a8db-f4e28d5bbd15,39.87598190,-75.12163440
00451887-0900-4d2e-99bb-ce01e8c734b1,cbe4b0c5-eb3c-43eb-9c16-9885406da781,39.85578550,-104.95608500
004ba390-dc71-40a3-97ef-8041dab7a911,3528,37.22800000,-80.41330000
004e7be2-98da-4c6e-899d-48e28eb0f0e3,53a465d6-d5d1-4a31-b7ac-0cd0a9ca20b4,37.67316280,-122.08555520
0050b85b-eb3b-41ee-bf2a-3417b289c1ce,5426,36.16123900,-86.78397300
0052f021-689b-479a-9931-fe8247a6aa59,3671,33.43056650,-111.93855920
00573c22-8666-4c3d-8dfd-d56042f86a1d,571f5249-62bd-465c-a82e-42fa9f94b343,31.78221080,-97.57684620
0058187a-b057-444e-9503-f73d4a70e021,ef661a99-155d-49f4-b6a1-18515c8318b1,38.79816270,-90.55949280
005991e1-a24b-419b-ae91-a13e57d4c6c9,c5fbe854-627f-478d-a2ed-2c63e4ec2998,37.81001190,-122.24528990
0059abef-1306-46a7-b82c-a6ba6acb6a67,be72e895-e552-41e4-8800-f306e982138c,35.48428230,-120.66505200
005cb186-67fd-4ae4-b955-b5f9e3d2d33f,a3290b1e-f576-480b-9b65-4f88d3266558,36.46176360,-94.30228680
005dd9a4-270e-4f27-af30-e4b833f80bdc,8596,41.88732878,-87.64955342
005f162c-c15b-4887-91b5-2043c855f4bb,8984,40.71384604,-73.99973810
005fa6ed-804d-4d97-a49f-ee5457104825,1503,39.04726600,-84.24678000
